"product","year","month","country","value"
"Vegetables, prepared or preserved","2018","April","Thailand",14.499
"Vegetables, prepared or preserved","2018","April","India",10.812
"Vegetables, prepared or preserved","2018","April","Turkey",6.837
"Vegetables, prepared or preserved","2018","April","Japan",3.557
"Vegetables, prepared or preserved","2018","April","Chile",2.707
"Vegetables, prepared or preserved","2018","April","World",289.042
"Vegetables, prepared or preserved","2018","May","European Union-28 3/",88.273
"Vegetables, prepared or preserved","2018","May","China",42.48
"Vegetables, prepared or preserved","2018","May","Mexico",41.244
"Vegetables, prepared or preserved","2018","May","Canada",32.929
"Vegetables, prepared or preserved","2018","May","Peru",14.748
"Vegetables, prepared or preserved","2018","May","Thailand",14.848
"Vegetables, prepared or preserved","2018","May","India",8.873
"Vegetables, prepared or preserved","2018","May","Turkey",7.567
"Vegetables, prepared or preserved","2018","May","Japan",4.01
"Vegetables, prepared or preserved","2018","May","Chile",5.137
"Vegetables, prepared or preserved","2018","May","World",297.497
"Vegetables, prepared or preserved","2018","June","European Union-28 3/",92.763
"Vegetables, prepared or preserved","2018","June","China",42.896
"Vegetables, prepared or preserved","2018","June","Mexico",39.694
"Vegetables, prepared or preserved","2018","June","Canada",32.839
"Vegetables, prepared or preserved","2018","June","Peru",13.796
"Vegetables, prepared or preserved","2018","June","Thailand",14.676
"Vegetables, prepared or preserved","2018","June","India",6.313
"Vegetables, prepared or preserved","2018","June","Turkey",6.463
"Vegetables, prepared or preserved","2018","June","Japan",4.426
"Vegetables, prepared or preserved","2018","June","Chile",5.604
"Vegetables, prepared or preserved","2018","June","World",294.121
"Vegetables, prepared or preserved","2018","July","European Union-28 3/",94.886
"Vegetables, prepared or preserved","2018","July","China",36.371
"Vegetables, prepared or preserved","2018","July","Mexico",41.823
"Vegetables, prepared or preserved","2018","July","Canada",33.014
"Vegetables, prepared or preserved","2018","July","Peru",14.74
"Vegetables, prepared or preserved","2018","July","Thailand",12.463
"Vegetables, prepared or preserved","2018","July","India",7.035
"Vegetables, prepared or preserved","2018","July","Turkey",7.952
"Vegetables, prepared or preserved","2018","July","Chile",6.072
"Vegetables, prepared or preserved","2018","July","Japan",3.888
"Vegetables, prepared or preserved","2018","July","World",293.612
"Vegetables, prepared or preserved","2018","August","European Union-28 3/",88.83
"Vegetables, prepared or preserved","2018","August","Mexico",46.675
"Vegetables, prepared or preserved","2018","August","China",33.616
"Vegetables, prepared or preserved","2018","August","Canada",30.25
"Vegetables, prepared or preserved","2018","August","Peru",14.608
"Vegetables, prepared or preserved","2018","August","Thailand",11.757
"Vegetables, prepared or preserved","2018","August","India",9.796
"Vegetables, prepared or preserved","2018","August","Turkey",6.663
"Vegetables, prepared or preserved","2018","August","Chile",4.317
"Vegetables, prepared or preserved","2018","August","Japan",3.643
"Vegetables, prepared or preserved","2018","August","World",288.222
"Vegetables, prepared or preserved","2018","September","European Union-28 3/",74.881
"Vegetables, prepared or preserved","2018","September","Mexico",39.889
"Vegetables, prepared or preserved","2018","September","China",36.758
"Vegetables, prepared or preserved","2018","September","Canada",34.453
"Vegetables, prepared or preserved","2018","September","Peru",15.266
"Vegetables, prepared or preserved","2018","September","Thailand",11.578
"Vegetables, prepared or preserved","2018","September","India",9.032
"Vegetables, prepared or preserved","2018","September","Turkey",5.075
"Vegetables, prepared or preserved","2018","September","Chile",6.202
